zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
86103313,86103313,https://www.zillow.com/homedetails/4908-Clayton-Ln-Stillwater-OK-74075/86103313_zpid/,"4908 Clayton Ln, Stillwater, OK 74075",4908 Clayton Ln,74075,3,2,2078,299500,36.155514,-96.992065
2069403689,2069403689,https://www.zillow.com/homedetails/251-W-Miller-Ave-303-Stillwater-OK-74075/2069403689_zpid/,"251 W Miller Ave #303, Stillwater, OK 74075",251 W Miller Ave #303,74075,4,4,1258,174900,36.12338,-97.06107
224752834,224752834,https://www.zillow.com/homedetails/124-W-Hartman-Ave-Stillwater-OK-74075/224752834_zpid/,"124 W Hartman Ave, Stillwater, OK 74075",124 W Hartman Ave,74075,3,2,1470,199000,36.133343,-97.06028
224760726,224760726,https://www.zillow.com/homedetails/3821-N-Monroe-St-Stillwater-OK-74075/224760726_zpid/,"3821 N Monroe St, Stillwater, OK 74075",3821 N Monroe St,74075,4,2,1936,95000,36.161163,-97.07214
224762791,224762791,https://www.zillow.com/homedetails/1111-S-McDonald-St-Stillwater-OK-74074/224762791_zpid/,"1111 S McDonald St, Stillwater, OK 74074",1111 S McDonald St,74074,3,1,1011,122000,36.10974,-97.08017
224765985,224765985,https://www.zillow.com/homedetails/1406-S-Lewis-St-Stillwater-OK-74074/224765985_zpid/,"1406 S Lewis St, Stillwater, OK 74074",1406 S Lewis St,74074,3,2,1396,154900,36.106514,-97.05756
303888316,303888316,https://www.zillow.com/homedetails/1922-N-Bradley-Pl-Stillwater-OK-74075/303888316_zpid/,"1922 N Bradley Pl, Stillwater, OK 74075",1922 N Bradley Pl,74075,3,2,2405,477500,36.140583,-97.10869
86101701,86101701,https://www.zillow.com/homedetails/3802-W-32nd-Ave-Stillwater-OK-74074/86101701_zpid/,"3802 W 32nd Ave, Stillwater, OK 74074",3802 W 32nd Ave,74074,5,3,2875,425000,36.087326,-97.108
86102420,86102420,https://www.zillow.com/homedetails/1924-S-Elvin-Dr-Stillwater-OK-74074/86102420_zpid/,"1924 S Elvin Dr, Stillwater, OK 74074",1924 S Elvin Dr,74074,4,3,3992,516000,36.10076,-97.098595
86105158,86105158,https://www.zillow.com/homedetails/926-E-Krayler-Ave-Stillwater-OK-74075/86105158_zpid/,"926 E Krayler Ave, Stillwater, OK 74075",926 E Krayler Ave,74075,3,2,1289,170000,36.14128,-97.045746
86105970,86105970,https://www.zillow.com/homedetails/6021-N-Knoblock-St-Stillwater-OK-74075/86105970_zpid/,"6021 N Knoblock St, Stillwater, OK 74075",6021 N Knoblock St,74075,3,2,1350,124000,36.18722,-97.06389
86106192,86106192,https://www.zillow.com/homedetails/120-N-Donaldson-St-Stillwater-OK-74075/86106192_zpid/,"120 N Donaldson St, Stillwater, OK 74075",120 N Donaldson St,74075,4,2,1863,225000,36.124023,-97.044556
86108464,86108464,https://www.zillow.com/homedetails/4004-W-Woodland-Trails-Ave-Stillwater-OK-74074/86108464_zpid/,"4004 W Woodland Trails Ave, Stillwater, OK 74074",4004 W Woodland Trails Ave,74074,4,3,3673,570000,36.0822,-97.10578
93367348,93367348,https://www.zillow.com/homedetails/210-S-Berry-St-Stillwater-OK-74074/93367348_zpid/,"210 S Berry St, Stillwater, OK 74074",210 S Berry St,74074,3,2,1096,127000,36.120663,-97.046295
94893057,94893057,https://www.zillow.com/homedetails/4920-E-Kara-Dr-Stillwater-OK-74074/94893057_zpid/,"4920 E Kara Dr, Stillwater, OK 74074",4920 E Kara Dr,74074,3,2,1439,160000,36.09861,-96.991844
2066828342,2066828342,https://www.zillow.com/homedetails/1706-Carnley-St-Stillwater-OK-74075/2066828342_zpid/,"1706 Carnley St, Stillwater, OK 74075",1706 Carnley St,74075,4,2,1897,216115,0.0,0.0
2067162984,2067162984,https://www.zillow.com/homedetails/1722-Carnley-St-Stillwater-OK-74075/2067162984_zpid/,"1722 Carnley St, Stillwater, OK 74075",1722 Carnley St,74075,3,2,1404,197720,0.0,0.0
2067251177,2067251177,https://www.zillow.com/homedetails/528-E-Greenbriar-Cir-508-Stillwater-OK-74075/2067251177_zpid/,"528 E Greenbriar Cir #508, Stillwater, OK 74075",528 E Greenbriar Cir #508,74075,3,3,13618,1100000,0.0,0.0
224764924,224764924,https://www.zillow.com/homedetails/1101-S-Husband-St-Stillwater-OK-74074/224764924_zpid/,"1101 S Husband St, Stillwater, OK 74074",1101 S Husband St,74074,4,2,1699,139900,36.109886,-97.05963
86102863,86102863,https://www.zillow.com/homedetails/1108-S-Fern-St-Stillwater-OK-74074/86102863_zpid/,"1108 S Fern St, Stillwater, OK 74074",1108 S Fern St,74074,4,2,1800,180000,36.109753,-97.05366
86105204,86105204,https://www.zillow.com/homedetails/1224-S-Main-St-Stillwater-OK-74074/86105204_zpid/,"1224 S Main St, Stillwater, OK 74074",1224 S Main St,74074,3,1,1936,112000,36.10819,-97.058945
2066434652,2066434652,https://www.zillow.com/homedetails/211-S-Wooten-Ln-Stillwater-OK-74074/2066434652_zpid/,"211 S Wooten Ln, Stillwater, OK 74074",211 S Wooten Ln,74074,3,2,1216,36000,0.0,0.0
246970773,246970773,https://www.zillow.com/homedetails/6703-S-Poplar-St-Cushing-OK-74023/246970773_zpid/,"6703 S Poplar St, Cushing, OK 74023",6703 S Poplar St,74023,3,1,1376,135000,36.044838,-97.0179
